lam,Gavg
2.00E-07,0
4.00E-07,0.0525552
4.01E-07,0.051539548
4.01E-07,0.051590551
4.02E-07,0.05108166
4.02E-07,0.05059358
4.03E-07,0.049831699
4.03E-07,0.049560166
4.04E-07,0.049536186
4.04E-07,0.049578371
4.05E-07,0.050178466
4.05E-07,0.050551426
4.06E-07,0.050546573
4.06E-07,0.050586725
4.07E-07,0.050833823
4.07E-07,0.051177807
4.08E-07,0.052630461
4.08E-07,0.052674826
4.09E-07,0.052101385
4.09E-07,0.051851702
4.10E-07,0.051788599
4.10E-07,0.051608368
4.11E-07,0.051736878
4.11E-07,0.051760281
4.12E-07,0.051715577
4.12E-07,0.051393399
4.13E-07,0.051323545
4.13E-07,0.051256917
4.14E-07,0.051596601
4.14E-07,0.051482308
4.15E-07,0.051196509
4.15E-07,0.051414277
4.16E-07,0.050995341
4.16E-07,0.050703532
4.17E-07,0.050648093
4.17E-07,0.0507389
4.18E-07,0.050884339
4.18E-07,0.050966536
4.19E-07,0.051123204
4.19E-07,0.051321333
4.20E-07,0.051359481
4.20E-07,0.051444895
4.21E-07,0.052078936
4.21E-07,0.052429725
4.22E-07,0.052853605
4.22E-07,0.052761588
4.23E-07,0.052837543
4.23E-07,0.053121637
4.24E-07,0.053035389
4.24E-07,0.052734608
4.25E-07,0.052856287
4.25E-07,0.052901521
4.26E-07,0.052729559
4.26E-07,0.052649482
4.27E-07,0.05260196
4.27E-07,0.05252993
4.28E-07,0.05268436
4.28E-07,0.052406432
4.29E-07,0.052905817
4.29E-07,0.052906518
4.30E-07,0.052821048
4.30E-07,0.052609548
4.31E-07,0.052557017
4.31E-07,0.052851515
4.32E-07,0.052801728
4.32E-07,0.052765864
4.33E-07,0.052900073
4.33E-07,0.052821907
4.34E-07,0.05262859
4.34E-07,0.052519645
4.35E-07,0.052305022
4.35E-07,0.052217947
4.36E-07,0.051921091
4.36E-07,0.051547896
4.37E-07,0.051499011
4.37E-07,0.051334543
4.38E-07,0.051147075
4.38E-07,0.051003251
4.39E-07,0.05098856
4.39E-07,0.051092071
4.40E-07,0.051150211
4.40E-07,0.050951502
4.41E-07,0.051046138
4.41E-07,0.050982425
4.42E-07,0.050781514
4.42E-07,0.050809623
4.43E-07,0.050773571
4.43E-07,0.050743946
4.44E-07,0.0506222
4.44E-07,0.050483255
4.45E-07,0.050584836
4.45E-07,0.050443556
4.46E-07,0.050330907
4.46E-07,0.050471199
4.47E-07,0.050608697
4.47E-07,0.050544405
4.48E-07,0.050548092
4.48E-07,0.050568757
4.49E-07,0.050703434
4.49E-07,0.050516785
4.50E-07,0.050347072
4.50E-07,0.050267935
4.51E-07,0.050221854
4.51E-07,0.049983295
4.52E-07,0.04982885
4.52E-07,0.049811906
4.53E-07,0.049730629
4.53E-07,0.049616054
4.54E-07,0.049427013
4.54E-07,0.049317314
4.55E-07,0.04931258
4.55E-07,0.049220413
4.56E-07,0.04900985
4.56E-07,0.048901695
4.57E-07,0.048764828
4.57E-07,0.048594236
4.58E-07,0.048288022
4.58E-07,0.047942826
4.59E-07,0.047915866
4.59E-07,0.047646882
4.60E-07,0.047417957
4.60E-07,0.047238738
4.61E-07,0.047036947
4.61E-07,0.046801231
4.62E-07,0.046510503
4.62E-07,0.046293404
4.63E-07,0.046141468
4.63E-07,0.04581225
4.64E-07,0.045600688
4.64E-07,0.045398508
4.65E-07,0.044987847
4.65E-07,0.044629624
4.66E-07,0.044289612
4.66E-07,0.04393847
4.67E-07,0.043548983
4.67E-07,0.043128365
4.68E-07,0.042754477
4.68E-07,0.042399206
4.69E-07,0.041955043
4.69E-07,0.041560738
4.70E-07,0.041142114
4.70E-07,0.040683293
4.71E-07,0.040183023
4.71E-07,0.039669782
4.72E-07,0.03924666
4.72E-07,0.038795215
4.73E-07,0.038316939
4.73E-07,0.037801109
4.74E-07,0.037278779
4.74E-07,0.03680327
4.75E-07,0.036407009
4.75E-07,0.035967718
4.76E-07,0.035575161
4.76E-07,0.035225636
4.77E-07,0.034815243
4.77E-07,0.034425739
4.78E-07,0.034078783
4.78E-07,0.033697534
4.79E-07,0.033337324
4.79E-07,0.032987266
4.80E-07,0.03265389
4.80E-07,0.032311662
4.81E-07,0.031977901
4.81E-07,0.031621463
4.82E-07,0.031323026
4.82E-07,0.031029445
4.83E-07,0.030776859
4.83E-07,0.030519648
4.84E-07,0.030272893
4.84E-07,0.030005266
4.85E-07,0.029784001
4.85E-07,0.029585529
4.86E-07,0.029384337
4.86E-07,0.029181878
4.87E-07,0.029001624
4.87E-07,0.028816218
4.88E-07,0.028667113
4.88E-07,0.028535565
4.89E-07,0.028433497
4.89E-07,0.028316646
4.90E-07,0.028187996
4.90E-07,0.028050423
4.91E-07,0.027948127
4.91E-07,0.027875175
4.92E-07,0.027794321
4.92E-07,0.027709509
4.93E-07,0.027636455
4.93E-07,0.027543302
4.94E-07,0.027472278
4.94E-07,0.027437242
4.95E-07,0.027437378
4.95E-07,0.027414749
4.96E-07,0.027379993
4.96E-07,0.027332402
4.97E-07,0.027293255
4.97E-07,0.027242171
4.98E-07,0.02721389
4.98E-07,0.027180662
4.99E-07,0.027151021
4.99E-07,0.02708794
5.00E-07,0.027040812
5.00E-07,0.027012992
5.01E-07,0.027003569
5.01E-07,0.026979839
5.02E-07,0.026981234
5.02E-07,0.026945347
5.03E-07,0.026924267
5.03E-07,0.026897755
5.04E-07,0.026877224
5.04E-07,0.02686206
5.05E-07,0.026865662
5.05E-07,0.026821093
5.06E-07,0.026809534
5.06E-07,0.026800871
5.07E-07,0.026798088
5.07E-07,0.026806516
5.08E-07,0.026811257
5.08E-07,0.026814327
5.09E-07,0.026803739
5.09E-07,0.026789431
5.10E-07,0.026792902
5.10E-07,0.026795357
5.11E-07,0.026794971
5.11E-07,0.02682509
5.12E-07,0.026822157
5.12E-07,0.026818524
5.13E-07,0.026813703
5.13E-07,0.026798831
5.14E-07,0.026796756
5.14E-07,0.026772717
5.15E-07,0.026768021
5.15E-07,0.026759155
5.16E-07,0.026742918
5.16E-07,0.02673373
5.17E-07,0.026731543
5.17E-07,0.026722114
5.18E-07,0.026727432
5.18E-07,0.026739637
5.19E-07,0.026740931
5.19E-07,0.026741171
5.20E-07,0.026752002
5.20E-07,0.026769723
5.21E-07,0.026772778
5.21E-07,0.026777632
5.22E-07,0.02679762
5.22E-07,0.026834035
5.23E-07,0.026832411
5.23E-07,0.026853078
5.24E-07,0.026908555
5.24E-07,0.026931864
5.25E-07,0.026956276
5.25E-07,0.026986872
5.26E-07,0.02702942
5.26E-07,0.027061797
5.27E-07,0.027098957
5.27E-07,0.027155959
5.28E-07,0.027222841
5.28E-07,0.027267426
5.29E-07,0.027304814
5.29E-07,0.027352577
5.30E-07,0.02740701
5.30E-07,0.027456053
5.31E-07,0.027510234
5.31E-07,0.027561269
5.32E-07,0.027597742
5.32E-07,0.027633112
5.33E-07,0.027678508
5.33E-07,0.027718987
5.34E-07,0.0277563
5.34E-07,0.027795417
5.35E-07,0.02783538
5.35E-07,0.027890981
5.36E-07,0.027927362
5.36E-07,0.02797538
5.37E-07,0.028034257
5.37E-07,0.028078284
5.38E-07,0.02812345
5.38E-07,0.028177292
5.39E-07,0.028226135
5.39E-07,0.028263338
5.40E-07,0.028288619
5.40E-07,0.02833324
5.41E-07,0.028388157
5.41E-07,0.028433208
5.42E-07,0.028474553
5.42E-07,0.028502974
5.43E-07,0.028552514
5.43E-07,0.028606771
5.44E-07,0.028664106
5.44E-07,0.028732463
5.45E-07,0.028799109
5.45E-07,0.028841024
5.46E-07,0.028867004
5.46E-07,0.028900732
5.47E-07,0.028956516
5.47E-07,0.029012408
5.48E-07,0.029062711
5.48E-07,0.029096495
5.49E-07,0.02911631
5.49E-07,0.029141388
5.50E-07,0.029169258
5.50E-07,0.029226034
5.51E-07,0.029278885
5.51E-07,0.029326494
5.52E-07,0.029373121
5.52E-07,0.029406951
5.53E-07,0.029440848
5.53E-07,0.029513449
5.54E-07,0.029568247
5.54E-07,0.029645604
5.55E-07,0.029700603
5.55E-07,0.029750163
5.56E-07,0.029803114
5.56E-07,0.029858721
5.57E-07,0.029922811
5.57E-07,0.030003233
5.58E-07,0.030064283
5.58E-07,0.030103314
5.59E-07,0.030149591
5.59E-07,0.030210245
5.60E-07,0.030255465
5.60E-07,0.030299933
5.61E-07,0.030350032
5.61E-07,0.030388107
5.62E-07,0.030415797
5.62E-07,0.030483736
5.63E-07,0.030521661
5.63E-07,0.030564074
5.64E-07,0.03058551
5.64E-07,0.030629032
5.65E-07,0.030666891
5.65E-07,0.030691875
5.66E-07,0.030695156
5.66E-07,0.030704899
5.67E-07,0.030665466
5.67E-07,0.030640602
5.68E-07,0.030614386
5.68E-07,0.030586444
5.69E-07,0.030537493
5.69E-07,0.030473947
5.70E-07,0.030405026
5.70E-07,0.030334714
5.71E-07,0.030257887
5.71E-07,0.030187878
5.72E-07,0.030140244
5.72E-07,0.030075021
