lam,Gavg
2.00E-07,0
4.00E-07,0.026585827
4.01E-07,0.028413211
4.01E-07,0.025891043
4.02E-07,0.025539711
4.02E-07,0.026250564
4.03E-07,0.031917784
4.03E-07,0.03078618
4.04E-07,0.032371013
4.04E-07,0.028220046
4.05E-07,0.026335247
4.05E-07,0.024608513
4.06E-07,0.02574242
4.06E-07,0.026010052
4.07E-07,0.026448229
4.07E-07,-0.004946469
4.08E-07,0.027226122
4.08E-07,0.039578502
4.09E-07,0.02948007
4.09E-07,0.032428006
4.10E-07,0.027865123
4.10E-07,0.025784773
4.11E-07,0.025778498
4.11E-07,0.025715137
4.12E-07,0.031393378
4.12E-07,0.026777312
4.13E-07,0.025910062
4.13E-07,0.027179881
4.14E-07,0.029444924
4.14E-07,0.028365033
4.15E-07,0.02781679
4.15E-07,0.028692548
4.16E-07,0.026749145
4.16E-07,0.026348698
4.17E-07,0.027215848
4.17E-07,0.028451788
4.18E-07,0.029956899
4.18E-07,0.027526275
4.19E-07,0.027552431
4.19E-07,0.027452504
4.20E-07,0.03140635
4.20E-07,0.028306594
4.21E-07,0.031582161
4.21E-07,0.030503458
4.22E-07,0.029037259
4.22E-07,0.026741735
4.23E-07,0.028084591
4.23E-07,0.03221987
4.24E-07,0.037014327
4.24E-07,0.029154226
4.25E-07,0.030520967
4.25E-07,0.027904161
4.26E-07,0.030512429
4.26E-07,0.027746631
4.27E-07,0.031161464
4.27E-07,0.030992053
4.28E-07,0.030561475
4.28E-07,0.034981313
4.29E-07,0.028199884
4.29E-07,0.029065439
4.30E-07,0.02972311
4.30E-07,0.029563816
4.31E-07,0.030659104
4.31E-07,0.029726692
4.32E-07,0.031068006
4.32E-07,0.029142708
4.33E-07,0.03005899
4.33E-07,0.029056767
4.34E-07,0.029004085
4.34E-07,0.02996102
4.35E-07,0.030405872
4.35E-07,0.03107835
4.36E-07,0.031551225
4.36E-07,0.028854178
4.37E-07,0.027506561
4.37E-07,0.027874753
4.38E-07,0.029563744
4.38E-07,0.029111543
4.39E-07,0.030576548
4.39E-07,0.031963457
4.40E-07,0.030304489
4.40E-07,0.02995665
4.41E-07,0.028463529
4.41E-07,0.028987642
4.42E-07,0.029911394
4.42E-07,0.027874923
4.43E-07,0.030063851
4.43E-07,0.031165165
4.44E-07,0.030473495
4.44E-07,0.030199317
4.45E-07,0.030982149
4.45E-07,0.030794562
4.46E-07,0.029201709
4.46E-07,0.029333321
4.47E-07,0.028756416
4.47E-07,0.028965359
4.48E-07,0.029886053
4.48E-07,0.030668874
4.49E-07,0.030633866
4.49E-07,0.029714167
4.50E-07,0.029464314
4.50E-07,0.030424821
4.51E-07,0.031032752
4.51E-07,0.03064689
4.52E-07,0.029552115
4.52E-07,0.030835255
4.53E-07,0.030107395
4.53E-07,0.03045215
4.54E-07,0.031017516
4.54E-07,0.031415724
4.55E-07,0.030292078
4.55E-07,0.02982605
4.56E-07,0.03041795
4.56E-07,0.02961534
4.57E-07,0.030285946
4.57E-07,0.030077107
4.58E-07,0.029479287
4.58E-07,0.027919196
4.59E-07,0.029011239
4.59E-07,0.030023378
4.60E-07,0.02977609
4.60E-07,0.028933135
4.61E-07,0.028988282
4.61E-07,0.02738655
4.62E-07,0.027446577
4.62E-07,0.028570382
4.63E-07,0.028501089
4.63E-07,0.027722151
4.64E-07,0.027162203
4.64E-07,0.02778876
4.65E-07,0.027156094
4.65E-07,0.027256706
4.66E-07,0.026821101
4.66E-07,0.026826591
4.67E-07,0.0262581
4.67E-07,0.02587415
4.68E-07,0.025162859
4.68E-07,0.025546134
4.69E-07,0.025310067
4.69E-07,0.024864272
4.70E-07,0.024720038
4.70E-07,0.024547858
4.71E-07,0.024265165
4.71E-07,0.024189145
4.72E-07,0.023539104
4.72E-07,0.022851681
4.73E-07,0.022653151
4.73E-07,0.022571453
4.74E-07,0.022365173
4.74E-07,0.021933898
4.75E-07,0.02205369
4.75E-07,0.021544431
4.76E-07,0.02091434
4.76E-07,0.020881974
4.77E-07,0.020537284
4.77E-07,0.020701688
4.78E-07,0.020322428
4.78E-07,0.019931824
4.79E-07,0.019722457
4.79E-07,0.019378423
4.80E-07,0.019510736
4.80E-07,0.01901311
4.81E-07,0.018950389
4.81E-07,0.018896935
4.82E-07,0.018460791
4.82E-07,0.018260509
4.83E-07,0.018349238
4.83E-07,0.018283762
4.84E-07,0.017962468
4.84E-07,0.017822925
4.85E-07,0.017675137
4.85E-07,0.01754876
4.86E-07,0.017497415
4.86E-07,0.017252799
4.87E-07,0.017236024
4.87E-07,0.017056184
4.88E-07,0.01699297
4.88E-07,0.016798873
4.89E-07,0.016777147
4.89E-07,0.01697433
4.90E-07,0.016751089
4.90E-07,0.016780557
4.91E-07,0.016808768
4.91E-07,0.016732409
4.92E-07,0.016643472
4.92E-07,0.016475937
4.93E-07,0.01650892
4.93E-07,0.016372367
4.94E-07,0.016429234
4.94E-07,0.016351862
4.95E-07,0.016457848
4.95E-07,0.016341907
4.96E-07,0.016458017
4.96E-07,0.016391251
4.97E-07,0.016515294
4.97E-07,0.016396106
4.98E-07,0.016379437
4.98E-07,0.016258922
4.99E-07,0.016386581
4.99E-07,0.016264901
5.00E-07,0.016297416
5.00E-07,0.016277177
5.01E-07,0.016213156
5.01E-07,0.016304326
5.02E-07,0.016326096
5.02E-07,0.016424746
5.03E-07,0.016481986
5.03E-07,0.016287234
5.04E-07,0.016335863
5.04E-07,0.016319996
5.05E-07,0.01631062
5.05E-07,0.016416303
5.06E-07,0.016303475
5.06E-07,0.016323893
5.07E-07,0.016494665
5.07E-07,0.016357319
5.08E-07,0.016313068
5.08E-07,0.01646879
5.09E-07,0.016460012
5.09E-07,0.016471288
5.10E-07,0.016534436
5.10E-07,0.01652822
5.11E-07,0.016433625
5.11E-07,0.016538576
5.12E-07,0.016523452
5.12E-07,0.016503606
5.13E-07,0.016604543
5.13E-07,0.016663018
